"name","name_eng"
"Вінницький соціально-економічний інститут ВМУРОЛ ""Україна""","Vinnytsia Socio-Economic Institute of VMUROL ""Ukraine"""
"Вінницький торговельно-економічний інститут ДТЕУ","Vinnytsia Trade and Economic Institute of the State University of Trade and Economics"
"Вінницький фінансово-економічний університет (ВФЕУ)","Vinnytsia Financial and Economic University (VFEU)"
"Волинська Православна Богословська Академія","Volyn Orthodox Theological Academy"
"Волинський інститут імені В`ячеслава Липинського ПрАТ «ВНЗ «МАУП»","Vyacheslav Lypynskyi Volyn Institute of the Interregional Academy of Personnel Management"
"Волинський медичний інститут","Volyn Medical Institute"
"Волинський національний університет імені Лесі Українки","Lesya Ukrainka Volyn National University"
"ВПНЗ ""Львівський медичний університет""","Private Higher Education Institution ""Lviv Medical University"""
"Глухівський національний педагогічний університет ім. Довженка (ГНПУ)","Hlukhiv National Pedagogical University named after Dovzhenko (HNPU)"
"Горлівський регіональний інститут Університету ""Україна""","Horlivka Regional Institute of the ""Ukraine"" University"
"Державний біотехнологічний університет","State Biotechnological University"
"Державний податковий університет","State Tax University"
"Державний торговельно-економічний університет (ДТЕУ)","State University of Trade and Economics (SUTE)"
"Державний університет економіки і технологій","State University of Economics and Technology"
"Державний університет інтелектуальних технологій і зв'язку","State University of Intellectual Technologies and Communications"
"Державний університет інформаційно-комунікаційних технологій (ДУІКТ)","State University of Information and Communication Technologies (SUICT)"
"Державний університет інфраструктури та технологій (ДУІТ)","State University of Infrastructure and Technologies (SUIT)"
"Деснянський інститут Президентського університету МАУП","Desnianskyi Institute of the President's University of IAPM"
"Дніпровська академія неперервної освіти Дніпропетровської обласної ради","Dnipro Academy of Continuing Education of the Dnipropetrovsk Regional Council"
"Дніпровська Духовна Семінарія","Dnipro Theological Seminary"
"Дніпровський гуманітарний університет (ДГУ)","Dnipro Humanitarian University (DHU)"
"Дніпровський дежавний медичний університет (ДДМУ)","Dnipro State Medical University (DSMU)"
"Дніпровський державний аграрно-економічний університет","Dnipro State Agrarian and Economic University"
"Дніпровський державний технічний університет (ДДТУ)","Dnipro State Technical University (DSTU)"
"Дніпровський державний університет внутрішніх справ","Dnipro State University of Internal Affairs"
"Дніпровський інститут медицини та громадського здоров'я","Dnipro Institute of Medicine and Public Health"
"Дніпровський інститут Міжрегіональної Академії управління персоналом","Dnipro Institute of the Interregional Academy of Personnel Management"
"Дніпровський медичний інститут традиційної і нетрадиційної медицини","Dnipro Medical Institute of Traditional and Non-Traditional Medicine"
"Дніпровський національний університет імені Олеся Гончара (ДНУ)","Oles Honchar Dnipro National University (DNU)"
"Дніпровський технологічний університет «ШАГ»","Dnipro Technological University “STEP”"
"Дніпропетровська академія музики імені М. Глінки","Dnipropetrovsk Academy of Music named after M. Hlinka"
"Дніпропетровська філія Відкритого міжнародного університету розвитку людини ""Україна""","Dnipropetrovsk Branch of the Open International University of Human Development ""Ukraine"""
"Дніпропетровський регіональний інститут державного управління НАДУ","Dnipropetrovsk Regional Institute of Public Administration of the National Academy for Public Administration"
"Донбаська державна машинобудівна академія (ДДМА)","Donbas State Machine-Building Academy (DSMA)"
"Донбаська національна академія будівництва і архітектури (ДонНАБА)","Donbas National Academy of Civil Engineering and Architecture (DonNACEA)"
"Донбаський державний педагогічний університет (ДДПУ)","Donbas State Pedagogical University (DSPU)"
"Донецька державна музична академія імені Прокоф'єва (ДонДМА)","Donetsk State Music Academy named after Prokofiev (DonSMA)"
"Донецький державний університет внутрішніх справ","Donetsk State University of Internal Affairs"
"Донецький державний університет управління (ДДУУ)","Donetsk State University of Management (DSUM)"
"Донецький інститут Міжрегіональної академії управління персоналом","Donetsk Institute of the Interregional Academy of Personnel Management"
"Донецький національний медичний університет (ДНМУ)","Donetsk National Medical University (DNMU)"
"Донецький національний технічний університет (ДонНТУ)","Donetsk National Technical University (DonNTU)"
"Донецький національний університет економіки і торгівлі імені Михайла Туган-Барановського (ДонНУЕТ)","Donetsk National University of Economics and Trade named after Mykhailo Tugan-Baranovsky (DonNUET)"
"Донецький національний університет імені Василя Стуса (ДонНУ імені Василя Стуса)","Vasyl’ Stus Donetsk National University"
"Донецький університет економіки та права","Donetsk University of Economics and Law"
"Дрогобицький державний педагогічний університет імені Івана Франка (ДДПУ)","Drohobych Ivan Franko State Pedagogical University (DSPU)"
"Дубенська філія Відкритого міжнародного університету розвитку людини ""Україна""","Dubno Branch of the Open International University of Human Development ""Ukraine"""
"Економіко-правничий інститут Західноукраїнського економіко-правничого університету","Economic and Legal Institute of the Western Ukrainian Economic and Legal University"
"Економіко-технологічний інститут імені Роберта Ельворті","Robert Elvorti Economic and Technological Institute"
"Енергодарський інститут державного та муніципального управління ім. Хеноха Класичного приватного університету (ЕІДМУ КПУ)","Enerhodar Institute of State and Municipal Management named after Henokh of the Classical Private University"
"Європейський університет (ЄУ)","European University (EU)"
"Житомирська політехніка","Zhytomyr Polytechnic"
"Житомирська філія КІБІТ","Zhytomyr Branch of the Kyiv Institute of Business and Technology"
"Житомирська Філія Приватного вищого навчального закладу ""Університет сучасних знань""","Zhytomyr Branch of the Private Higher Education Institution ""University of Modern Knowledge"""
"Житомирський державний університет ім. Франка (ЖДУ)","Zhytomyr Ivan Franko State University (ZhSU)"
"Житомирський економіко-гуманітарний інститут ВМУРОЛ","Zhytomyr Economic and Humanitarian Institute of VMUROL"
"Житомирський інститут культури і мистецтв (ЖІКМ)","Zhytomyr Institute of Culture and Arts (ZICA)"
"Житомирський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""","Zhytomyr Institute of the Private Joint Stock Company ""Higher Education Institution 'Interregional Academy of Personnel Management'"""
"Житомирський медичний інститут","Zhytomyr Medical Institute"
"Закарпатська академія мистецтв","Transcarpathian Academy of Arts"
"Закарпатський НКЦ Національного університету водного господарства та природокористування","Transcarpathian Educational and Consulting Center of the National University of Water and Environmental Engineering"
"Закарпатський угорський інститут ім. Ракоці ІІ (ЗУІ)","II. Rákóczi Transcarpathian Hungarian Institute (ZUI)"
"Запорізька державна інженерна академія (ЗДІА)","Zaporizhzhia State Engineering Academy (ZSEA)"
"Запорізький державний медико-фармацевтичний університет","Zaporizhzhia State Medical and Pharmaceutical University"
"Запорізький інститут економіки та інформаційних технологій (ЗІЕІТ)","Zaporizhzhia Institute of Economics and Information Technology (ZIEIT)"
"Запорізький національний університет (ЗНУ)","Zaporizhzhia National University (ZNU)"
"Запорізький юридичний інститут Дніпропетровського державного університету внутрішніх справ (ЗЮІ ДДУВС)","Zaporizhzhia Law Institute of the Dnipropetrovsk State University of Internal Affairs"
"Західноукраїнський економіко-правничий університет (ЗУЕПУ)","West Ukrainian University of Economics and Law (WUEL)"
"Західноукраїнський національний університет (ЗУНУ)","West Ukrainian National University (WUNU)"
"Зіґмунд Фройд Університет Україна (ЗФУУ)","Sigmund Freud University Ukraine (SFUU)"
"Івано-Франківська академія Івана Золотоустого","Ivano-Frankivsk Academy of John Chrysostom"
"Івано-Франківська філія Відкритого міжнародного університету розвитку людини ""Україна""","Ivano-Frankivsk Branch of the Open International University of Human Development ""Ukraine"""
"Івано-Франківський національний медичний університет (ІФНМУ)","Ivano-Frankivsk National Medical University (IFNMU)"
"Івано-Франківський національний технічний університет нафти і газу (ІФНТУНГ)","Ivano-Frankivsk National Technical University of Oil and Gas (IFNTUOG)"
"Ізмаїльський державний гуманітарний університет (ІДГУ)","Izmail State University of Humanities (ISUH)"
"Ізмаїльський інститут водного транспорту","Izmail Institute of Water Transport"
"Інститут «Харківська школа архітектури»","Kharkiv School of Architecture"
"Інститут адміністрування, державного управління та професійного розвитку Національного університету ""Львівська політехніка""","Institute of Administration, Public Governance and Professional Development of the National University ""Lviv Polytechnic"""
"Інститут державного управління та наукових досліджень з цивільного захисту","Institute of Public Administration and Research in Civil Protection"
"Інститут екології економіки і права (ІЕЕП)","Institute of Ecology, Economics and Law (IEEL)"
"Інститут екології, природоохоронної діяльності та туризму ім. В. Чорновола","V. Chornovol Institute of Ecology, Environmental Protection and Tourism"
"Інститут екранних мистецтв","Institute of Screen Arts"
"Інститут інтегрованих форм навчання НМетАУ","Institute of Integrated Forms of Education of the National Metallurgical Academy of Ukraine"
"Інститут інтелектуальної власності НУ ""Одеська юридична академія""","Institute of Intellectual Property of the National University ""Odesa Law Academy"""
"Інститут комп'ютерно-інформаційних технологій МАУП","Institute of Computer and Information Technologies of IAPM"
"Інститут міжнародних відносин Київського національного університету імені Тараса Шевченка","Institute of International Relations of Taras Shevchenko National University of Kyiv"
"Інститут підготовки кадрів державної служби зайнятості України (ІПК ДСЗУ)","Institute for Training Personnel of the State Employment Service of Ukraine"
"Інститут післядипломної освіти КПІ ім. Ігоря Сікорського","Institute of Continuing Education of Igor Sikorsky Kyiv Polytechnic Institute"
"Інститут реклами (ІР)","Institute of Advertising (IA)"
"Інститут Управління державної охорони України","Institute of the State Security Administration of Ukraine"
"Інститут управління і права Національного юридичного університету імені Ярослава Мудрого (м. Київ)","Institute of Management and Law of the Yaroslav Mudryi National Law University (Kyiv)"
"Інститут управління природними ресурсами Університету економіки та права «КРОК»","Institute of Natural Resource Management of the University of Economics and Law ""KROK"""
"Інформаційно-комунікаційний центр дистанційного навчання Хмельницького Національного Університету (ІКЦ ДН ХНУ м. Львів)","Information and Communication Center for Distance Learning of Khmelnytskyi National University (Lviv)"
"Ірпінський економічний коледж","Irpin College of Economics"
"Кам'янець-Подільський національний університет імені Івана Огієнка (К-ПНУ)","Kamianets-Podilskyi Ivan Ohienko National University (KPNU)"
"Кам’янець-Подільський державний інститут","Kamianets-Podilskyi State Institute"
"Кам’янець-Подільський податковий інститут","Kamianets-Podilskyi Tax Institute"
"Карпатський інститут підприємництва ВМУРОЛ","Carpathian Institute of Entrepreneurship of VMUROL"
"Карпатський університет ім. Августина Волошина (КаУ)","Augustin Voloshyn Carpathian University (CAU)"
"Київська Академія мистецтв ім. Павла Чубинського","Kyiv Academy of Arts named after Pavlo Chubynskyi"
"Київська академія міжнародної економіки і міжнародних відносин (КАМЕМВ)","Kyiv Academy of International Economy and International Relations (KAIER)"
"Київська гуманiтарна академія (КГА)","Kyiv Humanitarian Academy (KHA)"
"Київська державна академія водного транспорту ім. Конашевича-Сагайдачного (КДАВТ Дунайський НКП)","Kyiv State Academy of Water Transport named after Konashevych-Sahaidachny (KDAWT Danube Branch)"
"Київська державна академія декоративно-прикладного мистецтва і дизайну імені Михайла Бойчука","Kyiv State Academy of Decorative and Applied Arts and Design named after Mykhailo Boichuk"
"Київська муніципальна академія естрадного та циркового мистецтв","Kyiv Municipal Academy of Variety and Circus Arts"
"Київська муніципальна академія музики ім. Р. М. Глієра","Kyiv Municipal Academy of Music named after R. M. Glier"
"Київська православна богословська академія","Kyiv Orthodox Theological Academy"
"Київська школа економіки","Kyiv School of Economics"
"Київський Аграрний Університет Національної Академії Аграрних Наук України","Kyiv Agrarian University of the National Academy of Agrarian Sciences of Ukraine"
"Київський економічний інститут менеджменту (КЕІМ)","Kyiv Economic Institute of Management (KEIM)"
"Київський інститут банківської справи","Kyiv Institute of Banking"
"Київський інститут бізнесу та технологій (КІБІТ)","Kyiv Institute of Business and Technology (KIBiT)"
"Київський інститут Національної гвардії України (КІНГУ)","Kyiv Institute of the National Guard of Ukraine (KINGU)"
"Київський інститут сучасної психології та психотерапії","Kyiv Institute of Modern Psychology and Psychotherapy"
"Київський кооперативний інститут бізнесу і права (ККІБП)","Kyiv Cooperative Institute of Business and Law (KCIBL)"
"Київський Медичний Університет (КМУ)","Kyiv Medical University (KMU)"
"Київський міжнародний університет (КиМУ)","Kyiv International University (KyIU)"
"Київський національний економічний університет ім. Вадима Гетьмана (КНЕУ)","Kyiv National Economic University named after Vadym Hetman (KNEU)"
"Київський національний лінгвістичний університет (КНЛУ)","Kyiv National Linguistic University (KNLU)"
"Київський національний університет будівництва і архітектури (КНУБА)","Kyiv National University of Construction and Architecture (KNUCA)"
"Київський національний університет імені Тараса Шевченка (КНУ)","Taras Shevchenko National University of Kyiv (KNU)"
"Київський національний університет культури і мистецтв (КНУКіМ)","Kyiv National University of Culture and Arts (KNUCA)"
"Київський національний університет театру, кіно і телебачення ім. Карпенка-Карого (КНУТКТ)","Kyiv National I. K. Karpenko-Karyi University of Theatre, Cinema and Television (KNUTCT)"
"Київський національний університет технологій та дизайну (КНУТД)","Kyiv National University of Technologies and Design (KNUTD)"
"Київський славістичний університет (КСУ)","Kyiv Slavic University (KSU)"
"Київський столичний університет імені Бориса Грінченка","Borys Grinchenko Kyiv Metropolitan University"
"Київський університет банківської справи","Kyiv University of Banking"
"Київський університет інтелектуальної власності і права Одеської юридичної академії","Kyiv University of Intellectual Property and Law of Odesa Law Academy"
"Київський університет культури і мистецтв (Миколаївський факультет менеджменту і бізнесу)","Kyiv University of Culture and Arts (Mykolaiv Faculty of Management and Business)"
"Київський університет права НАН України (КУП НАНУ)","Kyiv University of Law of the National Academy of Sciences of Ukraine (KUL of NASU)"
"Київський університет ринкових відносин (КУРВ)","Kyiv University of Market Relations (KUMR)"
"Київський університет туризму, економіки і права (КУТЕП)","Kyiv University of Tourism, Economics and Law (KUTEL)"
"Кіровоградський інститут комерції (КІК)","Kirovohrad Institute of Commerce (KIK)"
"Класичний приватний університет (КПУ)","Classical Private University (CPU)"
"Коледж інженерії та управління","College of Engineering and Management"
"Комп'ютерна Академія ШАГ","Computer Academy STEP"
"Комунальний вищий навчальний заклад «Хортицька національна навчально-реабілітаційна академія» Запорізької обласної ради","Communal Higher Education Institution ""Khortytsia National Educational and Rehabilitation Academy"" of the Zaporizhzhia Regional Council"
"КОМУНАЛЬНИЙ НАВЧАЛЬНИЙ ЗАКЛАД «ЧЕРКАСЬКИЙ ОБЛАСНИЙ ІНСТИТУТ ПІСЛЯДИПЛОМНОЇ ОСВІТИ ПЕДАГОГІЧНИХ ПРАЦІВНИКІВ ЧЕРКАСЬКОЇ ОБЛАСНОЇ РАДИ»","Communal Educational Institution ""Cherkasy Regional Institute of Postgraduate Education for Pedagogical Workers"" of the Cherkasy Regional Council"
"Конотопська філія Міжрегіональної Академії управління персоналом","Konotop Branch of the Interregional Academy of Personnel Management"
"Косівський інститут прикладного та декоративного мистецтва Львівської національної академії мистецтв (КІПДМ ЛНАМ)","Kosiv Institute of Applied and Decorative Arts of the Lviv National Academy of Arts"
"Костянтинівська філія Донецького національного університету імені Василя Стуса","Kostiantynivka Branch of Vasyl’ Stus Donetsk National University"
"Красноармійський індустріальний інститут ""Донецький національний технічний університет"" (КІІ ДонНТУ)","Krasnoarmiisk Industrial Institute of Donetsk National Technical University"
"Кременецька обласна гуманітарно-педагогічна академія ім. Тараса Шевченка (КОГПА)","Kremenets Regional Humanitarian and Pedagogical Academy named after Taras Shevchenko"
"Кременчуцька гуманітарно-технологічна академія імені А.С. Макаренка","Kremenchuk Humanitarian and Technological Academy named after A.S. Makarenko"
"Кременчуцький інститут Дніпропетровського університету ім. Альфреда Нобеля (КІДУАН)","Kremenchuk Institute of the Dnipropetrovsk Alfred Nobel University"
"Кременчуцький національний університет імені Михайла Остроградського","Kremenchuk Mykhailo Ostrohradskyi National University"
"Криворізький національний університет","Kryvyi Rih National University"
"Криворізький педагогічний інститут КНУ","Kryvyi Rih Pedagogical Institute of KNU"
"Кропивницький інститут державного та муніципального управління","Kropyvnytskyi Institute of State and Municipal Management"
"Кропивницький інститут Приватного вищого навчального закладу ""Університет сучасних знань""","Kropyvnytskyi Institute of the Private Higher Education Institution ""University of Modern Knowledge"""
"Луганська державна академія культури та мистецтв (ЛДАКМ)","Luhansk State Academy of Culture and Arts (LSACA)"
"Луганський державний медичний університет","Luhansk State Medical University"
"Луганський державний університет внутрішніх справ ім. Дідоренка (ЛДУВС)","Luhansk State University of Internal Affairs named after Didorenko (LSUIA)"
"Луцький інститут розвитку людини університету ""Україна"" (ЛІРоЛ)","Lutsk Institute of Human Development of the ""Ukraine"" University"
"Луцький національний технічний університет (ЛНТУ)","Lutsk National Technical University (LNTU)"
"Львівська державна фінансова академія (ЛДФА)","Lviv State Financial Academy (LSFA)"
"Львівська медична академія імені Андрея Крупинського","Lviv Medical Academy named after Andrey Krupynskyi"
"Львівська національна академія мистецтв (ЛНАМ)","Lviv National Academy of Arts (LNAA)"
"Львівська національна музична академія ім. Лисенка (ЛНМА)","Lviv National Music Academy named after Lysenko (LNMA)"
"Львівська філія Європейського університету","Lviv Branch of the European University"
"Львівська філія Київського національного університету культури і мистецтв","Lviv Branch of the Kyiv National University of Culture and Arts"
"Львівський державний університет безпеки життєдіяльності (ЛДУ БЖД)","Lviv State University of Life Safety (LSULS)"
"Львівський державний університет внутрішніх справ (ЛьвДУВС)","Lviv State University of Internal Affairs (LvivSUIA)"
"Львівський державний університет фізичної культури імені Івана Боберського","Lviv State University of Physical Culture named after Ivan Boberskyi"
"Львівський інститут економіки і туризму (ЛІЕТ)","Lviv Institute of Economics and Tourism (LIET)"
"Львівський інститут менеджменту (ЛІМ)","Lviv Institute of Management (LIM)"
"Львівський навчально-науковий інститут ДВНЗ ""Університет банківської справи""","Lviv Educational and Research Institute of the University of Banking"
"Львівський національний медичний університет ім.Данила Галицького (ЛНМУ)","Danylo Halytsky Lviv National Medical University (LNMU)"
"Львівський національний університет ветеринарної медицини та біотехнологій імені С.З. Ґжицького (ЛНУВМБ)","Stepan Gzhytskyi Lviv National University of Veterinary Medicine and Biotechnologies (LNUVMB)"
"Львівський національний університет ім. Франка (ЛНУ)","Ivan Franko National University of Lviv (IFNUL)"
"Львівський національний університет природокористування","Lviv National University of Nature Management"
"Львівський торговельно-економічний університет","Lviv University of Trade and Economics"
"Львівський університет бізнесу та права (ЛУБП)","Lviv University of Business and Law (LUBL)"
"Льотна академія Національного авіаційного університету","Flight Academy of the National Aviation University"
"Макіївський економіко-гуманітарний інститут (МЕГІ)","Makiivka Economic and Humanitarian Institute (MEHI)"
"Маріупольський державний університет","Mariupol State University"
"Медико-Природничий Університет","Medical and Natural Sciences University"
"Медично-фармацевтичний коледж","Medical and Pharmaceutical College"
"Мелітопольський державний педагогічний університет ім. Б. Хмельницького (МДПУ)","Bohdan Khmelnytsky Melitopol State Pedagogical University (MSPU)"
"Мелітопольський інститут державного і муніципального управління КПУ","Melitopol Institute of State and Municipal Management of the Classical Private University"
"Мелітопольський інститут екології та соціальних технологій ВМУРОЛ","Melitopol Institute of Ecology and Social Technologies of VMUROL"
"Миколаївська філія Київського національного університета культури і мистецтв","Mykolaiv Branch of the Kyiv National University of Culture and Arts"
"Миколаївський міжрегіональний інститут розвитку людини Відкритого міжнародного університету розвитку людини (ММІРЛ)","Mykolaiv Interregional Institute of Human Development of the Open International University of Human Development"
"Миколаївський навчально-науковий інститут Одеського національного університету ім. Мечникова (МННІ ОНУ)","Mykolaiv Educational and Scientific Institute of Odesa Mechnikov National University"
"Миколаївський національний аграрний університет (МНАУ)","Mykolaiv National Agrarian University (MNAU)"
"Миколаївський національний університет ім. Сухомлинського (МНУ)","Mykolaiv V. Sukhomlynskyi National University (MNU)"
"Міжнародна академія екології та медицини","International Academy of Ecology and Medicine"
"Міжнародна академія сертифікації бухгалтерів і аудиторів","International Academy of Accountant and Auditor Certification"
"Міжнародний гуманітарний університет","International Humanitarian University"
"Міжнародний гуманітарно-педагогічний інститут ""Бейт-Хана""","International Humanitarian and Pedagogical Institute ""Beit Chana"""
"Міжнародний економіко-гуманітарний університет імені академіка Степана Дем'янчука (МЕГУ)","Academic Stepan Demianchuk International University of Economics and Humanities (IMEH)"
"Міжнародний європейський університет","International European University"
"Міжнародний класичний університет імені Пилипа Орлика","International Classical University named after Pylyp Orlyk"
"Міжнародний науково-технічний університет імені академіка Юрія Бугая (МНТУ)","International Scientific and Technical University named after Academician Yuriy Bugay (ISTU)"
"Міжнародний технологічний університет «Миколаївська політехніка» (МТУ МП)","International Technological University ""Mykolaiv Polytechnic"""
"Міжнародний університет бізнесу і права (МУБіП)","International University of Business and Law (IUBL)"
"Міжнародний університет фінансів (МУФ)","International University of Finance (IUF)"
"Міжнародний християнський університет","International Christian University"
"Морський інститут післядипломної освіти ім. контр-адмірала Ф.Ф. Ушакова","Admiral Ushakov Maritime Institute of Postgraduate Education"
"Мукачівський державний університет (МДУ)","Mukachevo State University (MSU)"
"Навчально-науковий інститут бізнесу, економіки та менеджменту","Educational and Research Institute of Business, Economics and Management"
"Навчально-науковий інститут інформаційної безпеки Національної академії СБУ","Educational and Research Institute of Information Security of the National Academy of the SSU"
"Навчально-науковий інститут матеріалознавства та зварювання імені Є.О. Патона","Paton Educational and Research Institute of Materials Science and Welding"
"Навчально-науковий інститут підготовки кадрів громадської безпеки та психологічної служби","Educational and Research Institute for Training Personnel of Public Safety and Psychological Services"
"Навчально-науковий інститут просторового планування та перспективних технологій Національного університету “Львівська політехніка“","Educational and Research Institute of Spatial Planning and Advanced Technologies of the National University ""Lviv Polytechnic"""
"Надслучанський інститут","Nadsluchanskyi Institute"
"Національна академія внутрішніх справ (НАВС)","National Academy of Internal Affairs (NAIA)"
"Національна академія державного управління при Президентові України (НАДУ)","National Academy for Public Administration under the President of Ukraine (NAPA)"
"Національна академія Державної прикордонної служби України імені Богдана Хмельницького (НАДПСУ)","Bohdan Khmelnytsky National Academy of the State Border Guard Service of Ukraine"
"Національна академія керівних кадрів культури і мистецтв (НАКККіМ)","National Academy of Managerial Staff of Culture and Arts (NAMSCA)"
"Національна академія образотворчого мистецтва і архітектури (НАОМА)","National Academy of Fine Arts and Architecture (NAFAA)"
"Національна академія Служби безпеки України","National Academy of the Security Service of Ukraine"
"Національна академія статистики, обліку та аудиту Державної служби статистики України (НАСОА)","National Academy of Statistics, Accounting and Auditing of the State Statistics Service of Ukraine (NASAA)"
"Національна академія статистики, обліку та аудиту Держкомстату України (Полтавська філія НАСОА)","Poltava Branch of the National Academy of Statistics, Accounting and Auditing"
"Національна академія управління","National Academy of Management"
"Національна металургійна академія України (НМетАУ)","National Metallurgical Academy of Ukraine (NMAU)"
"Національна музична академія України ім. Чайковського (НМАУ)","Tchaikovsky National Music Academy of Ukraine (NMAU)"
"Національна Юридична Академія","National Law Academy"
"Національний авіаційний університет (НАУ)","National Aviation University (NAU)"
"Національний аерокосмічний університет ім. М.Є. Жуковського «Харківський авіаційний інститут»","National Aerospace University ""Kharkiv Aviation Institute"" named after N.E. Zhukovsky"
"Національний лісотехнічний університет України (НЛТУ України)","Ukrainian National Forestry University (UNFU)"
"Національний медичний університет ім. Богомольця (НМУ)","Bogomolets National Medical University (BNMU)"
"Національний технічний університет ""Дніпровська політехніка""","National Technical University ""Dnipro Polytechnic"""
"Національний технічний університет ""Харківський політехнічний інститут"" (НТУ ХПІ)","National Technical University ""Kharkiv Polytechnic Institute"" (NTU KhPI)"
"Національний технічний університет України ""Київський політехнічний інститут імені Ігоря Сікорського"" (КПІ)","National Technical University of Ukraine ""Igor Sikorsky Kyiv Polytechnic Institute"" (KPI)"
"Національний транспортний університет (НТУ)","National Transport University (NTU)"
"Національний університет ""Києво-Могилянська академія"" (НаУКМА)","National University of ""Kyiv-Mohyla Academy"" (NaUKMA)"
"Національний університет ""Одеська морська академія"" (НУ ОМА)","National University ""Odesa Maritime Academy"" (NU OMA)"
"Національний університет ""Одеська політехніка""","Odesa Polytechnic National University"
"Національний університет ""Одеська юридична академія""","National University ""Odesa Law Academy"""
"Національний університет ""Острозька академія""","National University of Ostroh Academy"
"Національний університет ""Полтавська політехніка імені Юрія Кондратюка""","National University ""Yuri Kondratyuk Poltava Polytechnic"""
"Національний університет ""Чернігівська політехніка""","National University ""Chernihiv Polytechnic"""
"Національний університет ""Чернігівський колегіум"" імені Т.Г.Шевченка","National University ""Chernihiv Collegium"" named after T.H. Shevchenko"
"Національний університет «Запорізька політехніка»","National University ""Zaporizhzhia Polytechnic"""
"Національний університет «Львівська політехніка» (НУ «ЛП»)","Lviv Polytechnic National University (LPNU)"
"Національний університет біоресурсів і природокористування України (НУБПУ)","National University of Life and Environmental Sciences of Ukraine (NUBiP)"
"Національний університет водного господарства та природокористування (НУВГП)","National University of Water and Environmental Engineering (NUWEE)"
"Національний університет кораблебудування ім. Макарова (НУК)","Admiral Makarov National University of Shipbuilding (NUS)"
"Національний університет оборони України","National Defence University of Ukraine"
"Національний університет охорони здоров'я України ім. П.Л. Шупика","Shupyk National Healthcare University of Ukraine"
"Національний університет фізичного виховання і спорту України (НУФВСУ)","National University of Physical Education and Sport of Ukraine (NUPESU)"
"Національний університет харчових технологій (НУХТ)","National University of Food Technologies (NUFT)"
